"CSV Output"
"DX_CD","diag_description",
"0010","0010 - CHOLERA D/T VIBRIO CHOLERAE",
"0023","0023 - FEVER PARATYPHOID C",
"0030","0030 - GASTROENTERITIS SALMONELLA",
"0039","0039 - INFECTION SALMONELLA NOS",
"0048","0048 - INFECTION SHIGELLA NEC",
"0049","0049 - SHIGELLOSIS NOS",
"0054","0054 - POIS FOOD D/T V PARAHAEMOLYT",
"0059","0059 - POISONING FOOD NOS",
"0066","0066 - ULCERATION AMEBIC SKIN",
"0069","0069 - AMEBIASIS NOS",
"0074","0074 - CRYPTOSPORIDIOSIS",
"0078","0078 - DISEASE PROTOZOAL INTESTINAL NEC",
"0080","0080 - ENTERITIS D/T E COLI",
"00800","00800 - ENTERITIS E COLI NOS",
"00801","00801 - ENTERITIS ENTEROPATHOGENIC E COLI",
"00845","00845 - ENTERITIS CLOSTRIDIUM DIFFICILE",
"00849","00849 - ENTERITIS BACTERIAL NEC",
"0085","0085 - ENTERITIS BACTERIAL NOS",
"00861","00861 - ENTERITIS D/T ROTAVIRUS",
"00867","00867 - ENTERITIS D/T ENTEROVIRUS NEC",
"00869","00869 - ENTERITIS D/T VIRUS NEC",
"0088","0088 - ENTERITIS VIRAL NOS",
"0090","0090 - ENTERITIS INFECTIOUS NOS",
"0091","0091 - ENTERITIS PRESUMED INFCT ORIGIN",
"0092","0092 - DIARRHEA INFECTIOUS",
"0093","0093 - DIARRHEA PRESUMED INFCT ORIGIN",
"01000","01000 - TB PRIMARY COMPLEX UNSPECIFIED",
"01103","01103 - TB LUNG INFILTRATIVE MICROSCOPY DX",
"01111","01111 - TB LUNG NODULAR NO LAB EXAM",
"01160","01160 - TB PNEUMONIA UNSPECIFIED",
"01183","01183 - TB PULMONARY NEC MICROSCOPY DX",
"01184","01184 - TB PULMONARY NEC CULTURE DX",
"01190","01190 - TB PULMONARY NOS UNSPECIFIED",
"01480","01480 - TB INTESTINES NEC UNSPECIFIED",
"01500","01500 - TB VERTEBRA UNSPECIFIED",
"0205","0205 - PLAGUE PNEUMONIC NOS",
"024","024 - GLANDERS",
"0270","0270 - LISTERIOSIS",
"0272","0272 - PASTEURELLOSIS",
"0310","0310 - DISEASE PULMONARY D/T MYCOBACTERIA",
"0311","0311 - DISEASE CUTANEOUS D/T MYCOBACTERIA",
"0312","0312 - DISEASE DISSEMINATED D/T MYCOBACT",
"0319","0319 - DISEASE MYCOBACTERIAL NOS",
"0340","0340 - SORE THROAT STREPTOCOCCAL",
