CSV Output,,
Proc Code(cpt4),proc_type,proc_description
H01,HEADER,CPT Copyright 2016 AMA Association.  All Rights Reserved.
H02,HEADER, 
H03,HEADER,"Fee schedules, relative value units, conversion factors and/or"
H04,HEADER,"related components are not assigned by the AMA, are not part of"
H05,HEADER,"CPT, and the AMA is not recommending their use.  The AMA does"
H06,HEADER,not directly or indirectly practice medicine or dispense
H07,HEADER,medical services.  The AMA assumes no liability for data contained
H08,HEADER,or contained herein.
H09,HEADER, 
H10,HEADER,CPT is a registered trademark of the American Medical Association.
H11,HEADER, 
&8001,UNKNOWN Code,UNKNOWN Code
0,UNKNOWN Code,UNKNOWN Code
0,UNKNOWN Code,UNKNOWN Code
0001F,CPT?-Procedure-Code,HEART FAILURE COMPOSITE
0006K,UNKNOWN Code,UNKNOWN Code
1,Revenue Code,TOTAL CHARGE
100,CPT?-Procedure-Code,ANESTHESIA SALIVARY GLND PROCEDURE
103,CPT?-Procedure-Code,ANESTHESIA RECONSTRUCT EYELID
120,CPT?-Procedure-Code,ANESTHESIA FOR EAR SURGERY/BIOPSY
126,CPT?-Procedure-Code,ANESTHESIA FOR TYMPANOTOMY
140,CPT?-Procedure-Code,ANESTHESIA FOR EYE PROCEDURES
142,CPT?-Procedure-Code,ANESTHESIA FOR LENS SURGERY
144,CPT?-Procedure-Code,ANESTHESIA FOR CORNEAL TRANSPLANT
145,CPT?-Procedure-Code,ANESTHESIA FOR VITREORETINAL SURG
147,CPT?-Procedure-Code,ANESTHESIA FOR IRIDECTOMY
160,CPT?-Procedure-Code,ANESTHESIA FOR NOSE/SINUS SURGERY
162,CPT?-Procedure-Code,ANESTHESIA FOR RAD NOSE/SINUS SURG
170,CPT?-Procedure-Code,ANESTHESIA MOUTH PROCEDURE/BIOPSY
172,CPT?-Procedure-Code,ANESTHESIA FOR CLEFT PALATE REPAIR
176,CPT?-Procedure-Code,ANESTHESIA RADICAL MOUTH SURGERY
190,CPT?-Procedure-Code,ANES FACIAL BONE/SKULL SURG NOS
192,CPT?-Procedure-Code,ANES RADICAL FACE BONE/SKULL SURG
2,UNKNOWN Code,UNKNOWN Code
210,CPT?-Procedure-Code,ANESTHESIA FOR OPEN HEAD SURGERY
211,CPT?-Procedure-Code,ANESTH CRANIAL SURG HEMATOMA
214,CPT?-Procedure-Code,ANESTHESIA FOR SKULL BURR HOLES
218,CPT?-Procedure-Code,ANESTHESIA HEAD PROCEDURE SITTING
300,CPT?-Procedure-Code,ANES SKIN SURG HD/NK/PSTR TRNK NOS
320,CPT?-Procedure-Code,ANESTHESIA FOR NECK ORGAN SURGERY
350,CPT?-Procedure-Code,ANESTHESIA MAJOR NECK VESSEL SURG
4,UNKNOWN Code,UNKNOWN Code
400,CPT?-Procedure-Code,ANES SKIN EXTRM/ANT TRNK/PERINM NOS
402,CPT?-Procedure-Code,ANES SKIN BREAST RECONSTRUCTION
404,CPT?-Procedure-Code,ANES SKIN RADICAL BREAST SURGERY
410,CPT?-Procedure-Code,ANES SKIN ELEC CONVRSN ARRHYTHMIAS
0042T,CPT?-Procedure-Code,CT PERFUSION W/CONTRAST CBF
450,CPT?-Procedure-Code,ANESTHESIA CLAVICLE/SCAPULA SURG
470,CPT?-Procedure-Code,ANESTHESIA FOR PARTIAL RIB REMOVAL
472,CPT?-Procedure-Code,ANESTHESIA FOR CHEST WALL REPAIR
500,CPT?-Procedure-Code,ANESTHESIA FOR ESOPHAGEAL SURGERY
520,CPT?-Procedure-Code,ANES CLSD CHEST PROCEDURE NOS
522,CPT?-Procedure-Code,ANES CLSD CHEST NEEDLE BX PLEURA
530,CPT?-Procedure-Code,ANES TRANSVENOUS PACEMAKER INSERT
532,CPT?-Procedure-Code,ANESTHESIA CENTRAL VASCULAR ACCESS
534,CPT?-Procedure-Code,ANESTHESIA FOR CARDIOVERTER/DEFIB
537,CPT?-Procedure-Code,ANES CARDIAC ELECTROPHYS PRCD
540,CPT?-Procedure-Code,ANESTHESIA FOR CHEST SURGERY
541,CPT?-Procedure-Code,ANESTH ONE LUNG VENTILATION
542,CPT?-Procedure-Code,ANESTHESIA FOR RELEASE OF LUNG
550,CPT?-Procedure-Code,ANESTHESIA STERNAL DEBRIDEMENT
560,CPT?-Procedure-Code,ANES OPEN HEART SURGERY W/O PUMP
562,CPT?-Procedure-Code,ANES OPEN HEART SURGERY W/PUMP
563,CPT?-Procedure-Code,ANES OPEN HEART SURG W/PUMP/ARREST
566,CPT?-Procedure-Code,ANES DRECT ARTRY BYPS GRFT W/O PUMP
567,CPT?-Procedure-Code,ANESTH CABG W/PUMP
580,CPT?-Procedure-Code,ANESTHESIA HEART/LUNG TRANSPLANT
600,CPT?-Procedure-Code,ANES CERV SPINE/CORD SURG NOS
620,CPT?-Procedure-Code,ANES THORACIC SPINE/CORD SURGERY
625,CPT?-Procedure-Code,ANESTH SPINE TRANTHOR W/O VENT
630,CPT?-Procedure-Code,ANES LUMBAR SPINE/CORD SURGERY
635,CPT?-Procedure-Code,ANES LUMBAR DIAG/THERAP PUNCTURE
670,CPT?-Procedure-Code,ANES EXTENSIVE SPINE/CORD SURG
700,CPT?-Procedure-Code,ANESTHESIA ABDOMINAL WALL SURGERY
740,CPT?-Procedure-Code,ANES UPPER GI ENDOSCOPIC PROCS
