PolicyId,EnrollDate,CancelDate,MonthlyPremium
92597,2010-12-07,NULL,34.54
92808,2010-11-09,NULL,18.54
93090,2010-11-11,NULL,23.53
93122,2010-11-11,NULL,44.02
93133,2010-11-11,NULL,32.46
93258,2010-11-11,2016-05-24,21.66
1274,2008-12-28,NULL,16.82
1324,2009-05-11,NULL,38.84
1374,2009-05-21,NULL,19.24
1406,2009-02-20,NULL,41.44
1413,2009-02-23,NULL,21.24
1449,2009-03-09,NULL,19.92
1488,2009-05-27,NULL,14.22
1499,2009-05-29,NULL,20.53
1506,2009-05-31,NULL,15.96
1513,2009-06-02,NULL,19.20
1563,2009-01-20,NULL,21.16
1649,2009-06-12,NULL,20.60
1656,2009-06-13,NULL,30.10
1667,2009-06-16,NULL,16.53
1756,2009-04-01,NULL,41.42
1874,2009-02-18,2016-08-15,9.42
1956,2009-07-06,2016-08-15,14.50
2006,2009-07-15,2016-03-01,24.19
2074,2009-04-18,NULL,19.32
2149,2009-07-24,NULL,30.62
2249,2009-07-28,NULL,17.70
2335,2009-04-24,NULL,20.54
2560,2009-08-03,NULL,60.95
2674,2009-08-05,NULL,16.01
6629,2009-09-10,NULL,19.87
6672,2005-08-12,2016-06-30,57.86
6754,2009-09-14,NULL,36.15
6861,2004-10-07,2016-03-13,16.14
6954,2009-09-16,NULL,23.62
6997,2009-09-22,NULL,28.22
7004,2009-09-23,NULL,21.37
7072,2009-09-21,NULL,26.12
7215,2005-09-06,NULL,17.57
7240,2009-09-29,NULL,40.98
7265,2009-10-02,2016-11-16,19.22
7347,2009-10-04,NULL,12.47
325676,2013-05-10,NULL,24.70
325819,2013-05-10,NULL,27.40
326062,2013-05-30,NULL,21.51
326155,2013-05-12,2016-06-14,58.27
326219,2013-05-12,NULL,24.00
326312,2013-05-13,NULL,17.70
326323,2013-05-13,NULL,28.85
326330,2013-05-13,NULL,84.28
326723,2013-05-15,NULL,66.35
326741,2013-05-25,NULL,57.05
326773,2013-06-02,NULL,14.48
326873,2013-05-14,NULL,30.13
327191,2013-05-14,NULL,29.95
327198,2013-05-14,NULL,30.53
463106,2014-04-07,NULL,36.73
463188,2014-04-07,NULL,13.10
463206,2014-04-28,NULL,49.21
463406,2014-05-04,2016-03-03,17.00
463456,2014-05-05,NULL,27.13
467289,2014-05-12,NULL,15.09
467293,2014-04-16,NULL,16.04
467314,2014-04-16,NULL,33.29
467325,2014-05-05,2016-10-03,16.77
467343,2014-04-16,NULL,29.02
467425,2014-04-16,2016-01-06,53.94
467443,2014-05-12,NULL,36.68
467507,2014-04-16,NULL,29.01
467618,2014-04-16,NULL,22.87
328570,2013-06-17,NULL,14.27
328609,2013-05-18,NULL,26.51
328852,2013-06-08,NULL,9.45
328877,2013-05-18,NULL,18.41
329113,2013-05-20,NULL,16.78
329470,2013-05-21,NULL,24.82
329488,2013-06-05,NULL,39.60
329674,2013-05-21,NULL,58.69
329731,2013-05-21,NULL,46.49
329874,2013-05-21,NULL,64.54
329924,2013-06-18,2016-05-23,12.18
329981,2013-05-26,NULL,14.70
330031,2013-05-22,NULL,17.67
330038,2013-05-22,NULL,23.03
330174,2013-05-22,NULL,28.99
330281,2013-05-22,NULL,39.38
330317,2013-05-22,NULL,18.66
330356,2013-05-23,NULL,14.58
330456,2013-05-23,NULL,34.84
330474,2013-05-23,NULL,16.91
330685,2013-05-23,NULL,25.52
844475,2016-03-20,NULL,32.62
844493,2016-03-20,NULL,29.83
844543,2016-03-20,NULL,29.83
10312,2007-01-23,NULL,32.94
10348,2007-01-10,NULL,23.81
10480,2007-01-13,NULL,113.89
10491,2007-02-13,NULL,32.79
10580,2004-07-08,NULL,72.79
10648,2003-10-06,NULL,60.06
10691,2002-02-13,2016-01-27,39.54
10716,2004-08-15,NULL,26.24
10755,2007-03-20,2016-07-28,31.24
10805,2007-02-28,2016-04-02,18.98
10830,2003-06-02,2016-10-10,27.57
10891,2005-02-27,NULL,43.09
99174,2010-12-15,NULL,17.38
99217,2010-12-15,NULL,77.86
99274,2010-12-15,NULL,22.82
99281,2010-12-15,NULL,19.14
99342,2011-01-14,NULL,27.97
99374,2010-12-16,NULL,77.33
